#GENE_COLUMN=gene_symbol
#DEFAULT_TAG_HEADER=drug_name
#FILE_DESCRIPTION=DrugBank interactions
#UPLOADER=default
#ORGANISM=Human
#GENE_ID_TYPE=GENE NAME(HUGO)
#DEFAULT_GENES=EGFR C1QB P09871
interaction_count	drug_id	drug_name	drug_synonyms	drug_cas_number	drug_brands	drug_type	drug_groups	drug_categories	partner_id	known_action?	target_actions	gene_symbol	uniprot_id	entrez_id	ensembl_id
1968	DB00365	Grepafloxacin	N/A	119914-60-2	Raxar	small molecule	approved, withdrawn	Anti-Infectives, Anti-Bacterial Agents, Quinolones, Antibiotics	404	yes	inhibitor	gyrA	P43700	N/A	N/A
1969	DB00365	Grepafloxacin	N/A	119914-60-2	Raxar	small molecule	approved, withdrawn	Anti-Infectives, Anti-Bacterial Agents, Quinolones, Antibiotics	477	yes	inhibitor	parC	P43702	N/A	N/A
1970	DB00366	Doxylamine	Dossilamina [DCIT], Doxilminio [INN-Spanish], Doxylaminum [INN-Latin]	469-21-6	N/A	small molecule	approved	Hypnotics and Sedatives, Antiemetics, Anti-Allergic Agents, Histamine H1 Antagonists, Antitussive Agents	492	yes	antagonist	HRH1	P35367	3269	ENSG00000196639
1971	DB00366	Doxylamine	Dossilamina [DCIT], Doxilminio [INN-Spanish], Doxylaminum [INN-Latin]	469-21-6	N/A	small molecule	approved	Hypnotics and Sedatives, Antiemetics, Anti-Allergic Agents, Histamine H1 Antagonists, Antitussive Agents	103	unknown	antagonist	CHRM1	P11229	1128	ENSG00000168539
1972	DB00367	Levonorgestrel	18-Methylnorethisterone, d(-)-Norgestrel, Levonorgestrelum [INN-Latin]	797-63-7	Jadelle, Levonelle, Microlut, Microval, Mirena, Neogest, Next Choice, Norgeston, NorLevo, Norplant, Norplant 2, Norplant II, Ovrette, Plan B, Postinor	small molecule	approved	Contraceptives, Contraceptives, Oral, Synthetic, Contraceptive Agents, Female	614	yes	binder	PGR	P06401	5241	ENSG00000082175
1973	DB00367	Levonorgestrel	18-Methylnorethisterone, d(-)-Norgestrel, Levonorgestrelum [INN-Latin]	797-63-7	Jadelle, Levonelle, Microlut, Microval, Mirena, Neogest, Next Choice, Norgeston, NorLevo, Norplant, Norplant 2, Norplant II, Ovrette, Plan B, Postinor	small molecule	approved	Contraceptives, Contraceptives, Oral, Synthetic, Contraceptive Agents, Female	596	yes	inhibitor	SRD5A1	P18405	6715	ENSG00000145545
1974	DB00367	Levonorgestrel	18-Methylnorethisterone, d(-)-Norgestrel, Levonorgestrelum [INN-Latin]	797-63-7	Jadelle, Levonelle, Microlut, Microval, Mirena, Neogest, Next Choice, Norgeston, NorLevo, Norplant, Norplant 2, Norplant II, Ovrette, Plan B, Postinor	small molecule	approved	Contraceptives, Contraceptives, Oral, Synthetic, Contraceptive Agents, Female	136	yes	other	ESR1	P03372	2099	ENSG00000091831
1975	DB00367	Levonorgestrel	18-Methylnorethisterone, d(-)-Norgestrel, Levonorgestrelum [INN-Latin]	797-63-7	Jadelle, Levonelle, Microlut, Microval, Mirena, Neogest, Next Choice, Norgeston, NorLevo, Norplant, Norplant 2, Norplant II, Ovrette, Plan B, Postinor	small molecule	approved	Contraceptives, Contraceptives, Oral, Synthetic, Contraceptive Agents, Female	146	unknown	agonist	AR	P10275	367	ENSG00000169083
1976	DB00368	Norepinephrine	Arterenol, L-noradrenaline, L-Norepinephrine, Noradrenaline	51-41-2	N/A	small molecule	approved	Vasoconstrictor Agents, Sympathomimetics, Adrenergic alpha-Agonists	556	yes	agonist	ADRA1A	P35348	148	ENSG00000120907
1977	DB00368	Norepinephrine	Arterenol, L-noradrenaline, L-Norepinephrine, Noradrenaline	51-41-2	N/A	small molecule	approved	Vasoconstrictor Agents, Sympathomimetics, Adrenergic alpha-Agonists	632	yes	agonist	ADRA1B	P35368	147	ENSG00000170214
1978	DB00368	Norepinephrine	Arterenol, L-noradrenaline, L-Norepinephrine, Noradrenaline	51-41-2	N/A	small molecule	approved	Vasoconstrictor Agents, Sympathomimetics, Adrenergic alpha-Agonists	789	yes	agonist	ADRA1D	P25100	146	ENSG00000171873
1979	DB00368	Norepinephrine	Arterenol, L-noradrenaline, L-Norepinephrine, Noradrenaline	51-41-2	N/A	small molecule	approved	Vasoconstrictor Agents, Sympathomimetics, Adrenergic alpha-Agonists	318	yes	agonist	ADRA2A	P08913	150	ENSG00000150594
1980	DB00368	Norepinephrine	Arterenol, L-noradrenaline, L-Norepinephrine, Noradrenaline	51-41-2	N/A	small molecule	approved	Vasoconstrictor Agents, Sympathomimetics, Adrenergic alpha-Agonists	629	yes	agonist	ADRA2B	P18089	151	ENSG00000222040
1981	DB00368	Norepinephrine	Arterenol, L-noradrenaline, L-Norepinephrine, Noradrenaline	51-41-2	N/A	small molecule	approved	Vasoconstrictor Agents, Sympathomimetics, Adrenergic alpha-Agonists	378	yes	agonist	ADRA2C	P18825	152	ENSG00000184160
1982	DB00368	Norepinephrine	Arterenol, L-noradrenaline, L-Norepinephrine, Noradrenaline	51-41-2	N/A	small molecule	approved	Vasoconstrictor Agents, Sympathomimetics, Adrenergic alpha-Agonists	193	yes	agonist	ADRB1	P08588	153	ENSG00000043591
1983	DB00368	Norepinephrine	Arterenol, L-noradrenaline, L-Norepinephrine, Noradrenaline	51-41-2	N/A	small molecule	approved	Vasoconstrictor Agents, Sympathomimetics, Adrenergic alpha-Agonists	766	yes	agonist	ADRB2	P07550	154	ENSG00000169252
1984	DB00368	Norepinephrine	Arterenol, L-noradrenaline, L-Norepinephrine, Noradrenaline	51-41-2	N/A	small molecule	approved	Vasoconstrictor Agents, Sympathomimetics, Adrenergic alpha-Agonists	1517	yes	agonist	ADRB3	P13945	155	ENSG00000188778
1985	DB00368	Norepinephrine	Arterenol, L-noradrenaline, L-Norepinephrine, Noradrenaline	51-41-2	N/A	small molecule	approved	Vasoconstrictor Agents, Sympathomimetics, Adrenergic alpha-Agonists	828	no	inhibitor	PAH	P00439	5053	ENSG00000171759
1986	DB00369	Cidofovir	CDV, Cidofovir Anhydrous	113852-37-2	HPMPC, Vistide	small molecule	approved	Antineoplastic Agents, Antiviral Agents, Anti-HIV Agents, Radiation-Sensitizing Agents	379	yes	inhibitor	UL54	P08546	N/A	N/A
1987	DB00370	Mirtazapine	Mepirzepine, Mirtazapina [INN-Spanish], Mirtazapine [Usan:Ban:Inn], Mirtazapinum [INN-Latin], Mirtazepine	61337-67-5	Avanza, Axit, Mirtabene, Mirtaz, Mirtazon, Norset, Promyrtil, Remergil, Remergon, Remeron, Remeron Soltab, Rexer, Zispin	small molecule	approved	Histamine H1 Antagonists, Adrenergic alpha-Antagonists, Antidepressive Agents, Tricyclic	502	yes	antagonist	HTR2A	P28223	3356	ENSG00000102468
1988	DB00370	Mirtazapine	Mepirzepine, Mirtazapina [INN-Spanish], Mirtazapine [Usan:Ban:Inn], Mirtazapinum [INN-Latin], Mirtazepine	61337-67-5	Avanza, Axit, Mirtabene, Mirtaz, Mirtazon, Norset, Promyrtil, Remergil, Remergon, Remeron, Remeron Soltab, Rexer, Zispin	small molecule	approved	Histamine H1 Antagonists, Adrenergic alpha-Antagonists, Antidepressive Agents, Tricyclic	341	yes	antagonist	HTR3A	P46098	3359	ENSG00000166736
1989	DB00370	Mirtazapine	Mepirzepine, Mirtazapina [INN-Spanish], Mirtazapine [Usan:Ban:Inn], Mirtazapinum [INN-Latin], Mirtazepine	61337-67-5	Avanza, Axit, Mirtabene, Mirtaz, Mirtazon, Norset, Promyrtil, Remergil, Remergon, Remeron, Remeron Soltab, Rexer, Zispin	small molecule	approved	Histamine H1 Antagonists, Adrenergic alpha-Antagonists, Antidepressive Agents, Tricyclic	318	yes	antagonist	ADRA2A	P08913	150	ENSG00000150594
1990	DB00370	Mirtazapine	Mepirzepine, Mirtazapina [INN-Spanish], Mirtazapine [Usan:Ban:Inn], Mirtazapinum [INN-Latin], Mirtazepine	61337-67-5	Avanza, Axit, Mirtabene, Mirtaz, Mirtazon, Norset, Promyrtil, Remergil, Remergon, Remeron, Remeron Soltab, Rexer, Zispin	small molecule	approved	Histamine H1 Antagonists, Adrenergic alpha-Antagonists, Antidepressive Agents, Tricyclic	590	unknown	antagonist	HTR2C	P28335	3358	ENSG00000147246
1991	DB00370	Mirtazapine	Mepirzepine, Mirtazapina [INN-Spanish], Mirtazapine [Usan:Ban:Inn], Mirtazapinum [INN-Latin], Mirtazepine	61337-67-5	Avanza, Axit, Mirtabene, Mirtaz, Mirtazon, Norset, Promyrtil, Remergil, Remergon, Remeron, Remeron Soltab, Rexer, Zispin	small molecule	approved	Histamine H1 Antagonists, Adrenergic alpha-Antagonists, Antidepressive Agents, Tricyclic	696	unknown	agonist	OPRK1	P41145	4986	ENSG00000082556
1992	DB00370	Mirtazapine	Mepirzepine, Mirtazapina [INN-Spanish], Mirtazapine [Usan:Ban:Inn], Mirtazapinum [INN-Latin], Mirtazepine	61337-67-5	Avanza, Axit, Mirtabene, Mirtaz, Mirtazon, Norset, Promyrtil, Remergil, Remergon, Remeron, Remeron Soltab, Rexer, Zispin	small molecule	approved	Histamine H1 Antagonists, Adrenergic alpha-Antagonists, Antidepressive Agents, Tricyclic	492	no	antagonist	HRH1	P35367	3269	ENSG00000196639
1993	DB00371	Meprobamate	DEA No. 2820, Meprobamat [German], Meprobamato [INN-Spanish], Meprobamato [Italian], Meprobamatum [INN-Latin], Meprobamic acid, Procarbamide	57-53-4	3P bamate, Amepromat, Amosene, Anastress, Anathylmon, Anatimon, Andaksin, Andaxin, Aneural, Aneurol, Aneusral, Aneuxal, Aneuxral, Ansiatan, Ansietan, Ansil, Ansiowas, Anural, Anxietil, Anzil, Apascil, Apasil, Apo-Meprobamate, Appetrol, Appetrol-Sr, Arcoban, Arpon, Artolon, Ataraxine, Atraxin, Auxietil, Ayeramate, Ayermate, Bamate, Bamd 400, Bamo 400, Biobamat, Biobamate, Brobamate, Calmadin, Calmax, Calmiren, Canquil 400, Canquil-400, Carbaxin, Cirpon, Cirponyl, Coprobate, Crestanil, Cypron, Cyrpon, Dapaz, Deprol, Despasmol, Dicandiol, Diron, Diurnal, Diveron, Dormabrol, Ecuanil, Edenal, Enorden, Epicur, Epikur, Equanil, Equatrate, Equazine-M, Equilium, Equinil, Equitar, Erina, Estasil, Fas-Cile, Fas-Cile 200, Gadexyl, Gagexyl, Harmonin, Hartol, Holbamate, Ipsotian, Kesso-Bamate, Kessobamate, Klort, Larten, Lepenil, Lepetown, Letyl, Libiolan, Madiol, Mar-Bate, Margonil, Mendel, Mepamtin, Mepantin, Mepavlon, Mepiosine, Meposed, Mepranil, Mepriam, Meprin, Meprindon, Mepro-analgesic, Mepro-Aspirin, Meprobam, Meprobamat, Meproban, Meprocompren, Meprocon, Meprocon CMC, Meprodil, Meprodiol, Meprol, Meproleaf, Mepronil, Meprosa, Meprosan, Meprosin, Meprospan, Meprotabs, Meprotan, Meprotanum, Meproten, Meprotil, Meprovan, Meprozine, Meptran, Metractyl, Metranquil, Micrainin, Milpath, Milprem, Miltamato, Miltann, Miltaun, Miltown, Miltuan, Miltwon, Misedant, Morbam, Multaun, My-trans, Neo-Tran, Nephentine, Nervonus, Neuramate, Oasil, Optarket, Orlevol, Orolevol, Pan-tranquil, Pancalma, Panediol, Pankalma, Pathibamate, Paxin, Pensive, Perequietil, Perequil, Perquietil, Pertranquil, Pimal, Placidon, Placitate, Prequil, Probamato, Probamyl, Probate, Procalmadiol, Procalmadol, Procalmidol, Promate, Promato, Proquanil, Protran, Q-Gesic, Quaname, Quanane, Quanil, Quietidon, Quivet, Rastenil, Reostral, Restenil, Restenyl, Restinal, Restinil, Restran, Robamate, Sadanyl, Scolazil, Sedabamate, Sedanil, Sedanyl, Sedazil, Sedoquil, Sedoselecta, Selene, Seril, Setran, Shalvaton, SK-Bamate, Solevione anastress, Sowell, Spantran, Stensolo, Tamate, Tensol, Tensonal, Trancot, Trankvilan, Tranlisant, Tranmep, Tranquil, Tranquilan, Tranquilate, Tranquilax, Tranquiline, Tranquillin, Tranquilsan, Tranquinol, Tranquisan, Trelmar, Urbil, Urbilat, Vio-Bamate, Vistabamate, Wardamate, Wyseals, Zirpon	small molecule	illicit, approved	Anti-anxiety Agents, Hypnotics and Sedatives, Anticonvulsants, Muscle Relaxants, Central	872	yes	agonist	GABRA1	P14867	2554	ENSG00000022355
1994	DB00371	Meprobamate	DEA No. 2820, Meprobamat [German], Meprobamato [INN-Spanish], Meprobamato [Italian], Meprobamatum [INN-Latin], Meprobamic acid, Procarbamide	57-53-4	3P bamate, Amepromat, Amosene, Anastress, Anathylmon, Anatimon, Andaksin, Andaxin, Aneural, Aneurol, Aneusral, Aneuxal, Aneuxral, Ansiatan, Ansietan, Ansil, Ansiowas, Anural, Anxietil, Anzil, Apascil, Apasil, Apo-Meprobamate, Appetrol, Appetrol-Sr, Arcoban, Arpon, Artolon, Ataraxine, Atraxin, Auxietil, Ayeramate, Ayermate, Bamate, Bamd 400, Bamo 400, Biobamat, Biobamate, Brobamate, Calmadin, Calmax, Calmiren, Canquil 400, Canquil-400, Carbaxin, Cirpon, Cirponyl, Coprobate, Crestanil, Cypron, Cyrpon, Dapaz, Deprol, Despasmol, Dicandiol, Diron, Diurnal, Diveron, Dormabrol, Ecuanil, Edenal, Enorden, Epicur, Epikur, Equanil, Equatrate, Equazine-M, Equilium, Equinil, Equitar, Erina, Estasil, Fas-Cile, Fas-Cile 200, Gadexyl, Gagexyl, Harmonin, Hartol, Holbamate, Ipsotian, Kesso-Bamate, Kessobamate, Klort, Larten, Lepenil, Lepetown, Letyl, Libiolan, Madiol, Mar-Bate, Margonil, Mendel, Mepamtin, Mepantin, Mepavlon, Mepiosine, Meposed, Mepranil, Mepriam, Meprin, Meprindon, Mepro-analgesic, Mepro-Aspirin, Meprobam, Meprobamat, Meproban, Meprocompren, Meprocon, Meprocon CMC, Meprodil, Meprodiol, Meprol, Meproleaf, Mepronil, Meprosa, Meprosan, Meprosin, Meprospan, Meprotabs, Meprotan, Meprotanum, Meproten, Meprotil, Meprovan, Meprozine, Meptran, Metractyl, Metranquil, Micrainin, Milpath, Milprem, Miltamato, Miltann, Miltaun, Miltown, Miltuan, Miltwon, Misedant, Morbam, Multaun, My-trans, Neo-Tran, Nephentine, Nervonus, Neuramate, Oasil, Optarket, Orlevol, Orolevol, Pan-tranquil, Pancalma, Panediol, Pankalma, Pathibamate, Paxin, Pensive, Perequietil, Perequil, Perquietil, Pertranquil, Pimal, Placidon, Placitate, Prequil, Probamato, Probamyl, Probate, Procalmadiol, Procalmadol, Procalmidol, Promate, Promato, Proquanil, Protran, Q-Gesic, Quaname, Quanane, Quanil, Quietidon, Quivet, Rastenil, Reostral, Restenil, Restenyl, Restinal, Restinil, Restran, Robamate, Sadanyl, Scolazil, Sedabamate, Sedanil, Sedanyl, Sedazil, Sedoquil, Sedoselecta, Selene, Seril, Setran, Shalvaton, SK-Bamate, Solevione anastress, Sowell, Spantran, Stensolo, Tamate, Tensol, Tensonal, Trancot, Trankvilan, Tranlisant, Tranmep, Tranquil, Tranquilan, Tranquilate, Tranquilax, Tranquiline, Tranquillin, Tranquilsan, Tranquinol, Tranquisan, Trelmar, Urbil, Urbilat, Vio-Bamate, Vistabamate, Wardamate, Wyseals, Zirpon	small molecule	illicit, approved	Anti-anxiety Agents, Hypnotics and Sedatives, Anticonvulsants, Muscle Relaxants, Central	423	yes	agonist	GABRA2	P47869	2555	ENSG00000151834
1995	DB00371	Meprobamate	DEA No. 2820, Meprobamat [German], Meprobamato [INN-Spanish], Meprobamato [Italian], Meprobamatum [INN-Latin], Meprobamic acid, Procarbamide	57-53-4	3P bamate, Amepromat, Amosene, Anastress, Anathylmon, Anatimon, Andaksin, Andaxin, Aneural, Aneurol, Aneusral, Aneuxal, Aneuxral, Ansiatan, Ansietan, Ansil, Ansiowas, Anural, Anxietil, Anzil, Apascil, Apasil, Apo-Meprobamate, Appetrol, Appetrol-Sr, Arcoban, Arpon, Artolon, Ataraxine, Atraxin, Auxietil, Ayeramate, Ayermate, Bamate, Bamd 400, Bamo 400, Biobamat, Biobamate, Brobamate, Calmadin, Calmax, Calmiren, Canquil 400, Canquil-400, Carbaxin, Cirpon, Cirponyl, Coprobate, Crestanil, Cypron, Cyrpon, Dapaz, Deprol, Despasmol, Dicandiol, Diron, Diurnal, Diveron, Dormabrol, Ecuanil, Edenal, Enorden, Epicur, Epikur, Equanil, Equatrate, Equazine-M, Equilium, Equinil, Equitar, Erina, Estasil, Fas-Cile, Fas-Cile 200, Gadexyl, Gagexyl, Harmonin, Hartol, Holbamate, Ipsotian, Kesso-Bamate, Kessobamate, Klort, Larten, Lepenil, Lepetown, Letyl, Libiolan, Madiol, Mar-Bate, Margonil, Mendel, Mepamtin, Mepantin, Mepavlon, Mepiosine, Meposed, Mepranil, Mepriam, Meprin, Meprindon, Mepro-analgesic, Mepro-Aspirin, Meprobam, Meprobamat, Meproban, Meprocompren, Meprocon, Meprocon CMC, Meprodil, Meprodiol, Meprol, Meproleaf, Mepronil, Meprosa, Meprosan, Meprosin, Meprospan, Meprotabs, Meprotan, Meprotanum, Meproten, Meprotil, Meprovan, Meprozine, Meptran, Metractyl, Metranquil, Micrainin, Milpath, Milprem, Miltamato, Miltann, Miltaun, Miltown, Miltuan, Miltwon, Misedant, Morbam, Multaun, My-trans, Neo-Tran, Nephentine, Nervonus, Neuramate, Oasil, Optarket, Orlevol, Orolevol, Pan-tranquil, Pancalma, Panediol, Pankalma, Pathibamate, Paxin, Pensive, Perequietil, Perequil, Perquietil, Pertranquil, Pimal, Placidon, Placitate, Prequil, Probamato, Probamyl, Probate, Procalmadiol, Procalmadol, Procalmidol, Promate, Promato, Proquanil, Protran, Q-Gesic, Quaname, Quanane, Quanil, Quietidon, Quivet, Rastenil, Reostral, Restenil, Restenyl, Restinal, Restinil, Restran, Robamate, Sadanyl, Scolazil, Sedabamate, Sedanil, Sedanyl, Sedazil, Sedoquil, Sedoselecta, Selene, Seril, Setran, Shalvaton, SK-Bamate, Solevione anastress, Sowell, Spantran, Stensolo, Tamate, Tensol, Tensonal, Trancot, Trankvilan, Tranlisant, Tranmep, Tranquil, Tranquilan, Tranquilate, Tranquilax, Tranquiline, Tranquillin, Tranquilsan, Tranquinol, Tranquisan, Trelmar, Urbil, Urbilat, Vio-Bamate, Vistabamate, Wardamate, Wyseals, Zirpon	small molecule	illicit, approved	Anti-anxiety Agents, Hypnotics and Sedatives, Anticonvulsants, Muscle Relaxants, Central	580	yes	agonist	GABRA3	P34903	2556	ENSG00000011677
1996	DB00371	Meprobamate	DEA No. 2820, Meprobamat [German], Meprobamato [INN-Spanish], Meprobamato [Italian], Meprobamatum [INN-Latin], Meprobamic acid, Procarbamide	57-53-4	3P bamate, Amepromat, Amosene, Anastress, Anathylmon, Anatimon, Andaksin, Andaxin, Aneural, Aneurol, Aneusral, Aneuxal, Aneuxral, Ansiatan, Ansietan, Ansil, Ansiowas, Anural, Anxietil, Anzil, Apascil, Apasil, Apo-Meprobamate, Appetrol, Appetrol-Sr, Arcoban, Arpon, Artolon, Ataraxine, Atraxin, Auxietil, Ayeramate, Ayermate, Bamate, Bamd 400, Bamo 400, Biobamat, Biobamate, Brobamate, Calmadin, Calmax, Calmiren, Canquil 400, Canquil-400, Carbaxin, Cirpon, Cirponyl, Coprobate, Crestanil, Cypron, Cyrpon, Dapaz, Deprol, Despasmol, Dicandiol, Diron, Diurnal, Diveron, Dormabrol, Ecuanil, Edenal, Enorden, Epicur, Epikur, Equanil, Equatrate, Equazine-M, Equilium, Equinil, Equitar, Erina, Estasil, Fas-Cile, Fas-Cile 200, Gadexyl, Gagexyl, Harmonin, Hartol, Holbamate, Ipsotian, Kesso-Bamate, Kessobamate, Klort, Larten, Lepenil, Lepetown, Letyl, Libiolan, Madiol, Mar-Bate, Margonil, Mendel, Mepamtin, Mepantin, Mepavlon, Mepiosine, Meposed, Mepranil, Mepriam, Meprin, Meprindon, Mepro-analgesic, Mepro-Aspirin, Meprobam, Meprobamat, Meproban, Meprocompren, Meprocon, Meprocon CMC, Meprodil, Meprodiol, Meprol, Meproleaf, Mepronil, Meprosa, Meprosan, Meprosin, Meprospan, Meprotabs, Meprotan, Meprotanum, Meproten, Meprotil, Meprovan, Meprozine, Meptran, Metractyl, Metranquil, Micrainin, Milpath, Milprem, Miltamato, Miltann, Miltaun, Miltown, Miltuan, Miltwon, Misedant, Morbam, Multaun, My-trans, Neo-Tran, Nephentine, Nervonus, Neuramate, Oasil, Optarket, Orlevol, Orolevol, Pan-tranquil, Pancalma, Panediol, Pankalma, Pathibamate, Paxin, Pensive, Perequietil, Perequil, Perquietil, Pertranquil, Pimal, Placidon, Placitate, Prequil, Probamato, Probamyl, Probate, Procalmadiol, Procalmadol, Procalmidol, Promate, Promato, Proquanil, Protran, Q-Gesic, Quaname, Quanane, Quanil, Quietidon, Quivet, Rastenil, Reostral, Restenil, Restenyl, Restinal, Restinil, Restran, Robamate, Sadanyl, Scolazil, Sedabamate, Sedanil, Sedanyl, Sedazil, Sedoquil, Sedoselecta, Selene, Seril, Setran, Shalvaton, SK-Bamate, Solevione anastress, Sowell, Spantran, Stensolo, Tamate, Tensol, Tensonal, Trancot, Trankvilan, Tranlisant, Tranmep, Tranquil, Tranquilan, Tranquilate, Tranquilax, Tranquiline, Tranquillin, Tranquilsan, Tranquinol, Tranquisan, Trelmar, Urbil, Urbilat, Vio-Bamate, Vistabamate, Wardamate, Wyseals, Zirpon	small molecule	illicit, approved	Anti-anxiety Agents, Hypnotics and Sedatives, Anticonvulsants, Muscle Relaxants, Central	530	yes	agonist	GABRA4	P48169	2557	ENSG00000109158
1997	DB00371	Meprobamate	DEA No. 2820, Meprobamat [German], Meprobamato [INN-Spanish], Meprobamato [Italian], Meprobamatum [INN-Latin], Meprobamic acid, Procarbamide	57-53-4	3P bamate, Amepromat, Amosene, Anastress, Anathylmon, Anatimon, Andaksin, Andaxin, Aneural, Aneurol, Aneusral, Aneuxal, Aneuxral, Ansiatan, Ansietan, Ansil, Ansiowas, Anural, Anxietil, Anzil, Apascil, Apasil, Apo-Meprobamate, Appetrol, Appetrol-Sr, Arcoban, Arpon, Artolon, Ataraxine, Atraxin, Auxietil, Ayeramate, Ayermate, Bamate, Bamd 400, Bamo 400, Biobamat, Biobamate, Brobamate, Calmadin, Calmax, Calmiren, Canquil 400, Canquil-400, Carbaxin, Cirpon, Cirponyl, Coprobate, Crestanil, Cypron, Cyrpon, Dapaz, Deprol, Despasmol, Dicandiol, Diron, Diurnal, Diveron, Dormabrol, Ecuanil, Edenal, Enorden, Epicur, Epikur, Equanil, Equatrate, Equazine-M, Equilium, Equinil, Equitar, Erina, Estasil, Fas-Cile, Fas-Cile 200, Gadexyl, Gagexyl, Harmonin, Hartol, Holbamate, Ipsotian, Kesso-Bamate, Kessobamate, Klort, Larten, Lepenil, Lepetown, Letyl, Libiolan, Madiol, Mar-Bate, Margonil, Mendel, Mepamtin, Mepantin, Mepavlon, Mepiosine, Meposed, Mepranil, Mepriam, Meprin, Meprindon, Mepro-analgesic, Mepro-Aspirin, Meprobam, Meprobamat, Meproban, Meprocompren, Meprocon, Meprocon CMC, Meprodil, Meprodiol, Meprol, Meproleaf, Mepronil, Meprosa, Meprosan, Meprosin, Meprospan, Meprotabs, Meprotan, Meprotanum, Meproten, Meprotil, Meprovan, Meprozine, Meptran, Metractyl, Metranquil, Micrainin, Milpath, Milprem, Miltamato, Miltann, Miltaun, Miltown, Miltuan, Miltwon, Misedant, Morbam, Multaun, My-trans, Neo-Tran, Nephentine, Nervonus, Neuramate, Oasil, Optarket, Orlevol, Orolevol, Pan-tranquil, Pancalma, Panediol, Pankalma, Pathibamate, Paxin, Pensive, Perequietil, Perequil, Perquietil, Pertranquil, Pimal, Placidon, Placitate, Prequil, Probamato, Probamyl, Probate, Procalmadiol, Procalmadol, Procalmidol, Promate, Promato, Proquanil, Protran, Q-Gesic, Quaname, Quanane, Quanil, Quietidon, Quivet, Rastenil, Reostral, Restenil, Restenyl, Restinal, Restinil, Restran, Robamate, Sadanyl, Scolazil, Sedabamate, Sedanil, Sedanyl, Sedazil, Sedoquil, Sedoselecta, Selene, Seril, Setran, Shalvaton, SK-Bamate, Solevione anastress, Sowell, Spantran, Stensolo, Tamate, Tensol, Tensonal, Trancot, Trankvilan, Tranlisant, Tranmep, Tranquil, Tranquilan, Tranquilate, Tranquilax, Tranquiline, Tranquillin, Tranquilsan, Tranquinol, Tranquisan, Trelmar, Urbil, Urbilat, Vio-Bamate, Vistabamate, Wardamate, Wyseals, Zirpon	small molecule	illicit, approved	Anti-anxiety Agents, Hypnotics and Sedatives, Anticonvulsants, Muscle Relaxants, Central	523	yes	agonist	GABRA5	P31644	2558	ENSG00000186297
